text,insult,obscene,ideology,lgbtqphobia,racism,sexism,xenophobia
"Primeiramente mandaria se foder pq amigo nenhum diz que outras garotas são melhores. Depois é perguntar se ele realmente tem interesse, e se não tiver parar de agir como se tivesse",1,1,0,0,0,1,0
USER esse maluco ai é asqueroso pprt e a mina é maluquinha da cabeça tambem,1,0,0,0,0,0,0
USER canalha!,1,0,0,0,0,0,0
USER Ladrões Unidos !,1,0,0,0,0,0,0
Meno burrão,1,0,0,0,0,0,0
"A podridão vindo a tona, USER está fazendo tudo que já de ruim nesse país se mostrar. Força USER, eles vão cair! Traidores da nação.",1,0,1,0,0,0,0
"USER USER USER Nojento, filho da puta, Ladrão.",1,1,0,0,0,0,0
USER: merda inferno cu buceta porra caralho,1,1,0,0,0,0,0
Sexo a 4 hoje kkkk O boy do pornozão arrebentando na tv.. E Eu esse rabudo no amadorismo.. bundona porem cuzin apertado. Mas foi uma dlc fuder com ele ☺ URL,1,1,0,0,0,0,0
USER pais bizarro .,1,0,1,0,0,0,1
"USER Não importa, ele é velhinho e burro não sabe nem falar ""analfabeto"". Você não tem respeito pelos mais velhos!? Vou contar ao divino",1,0,0,0,0,0,0
"A mulher coitada esta carente, mais USER culpada , o vara estava na dele.",1,1,0,0,0,1,0
"Antigamente os lobisomens eram feras muito sanguinarias e travavam batalhas contra vampiros mais agora se uma menina ve um lobisomem ela fala:“nossa que estranho os lobisomens andão sem camisa"" USER ENUSERNDE UMA COISA A USER DO VAMPIRO USER BRILHA NO SOL CARALHO E USER USER USER USER SEM CAMISA E USER USER LOBUSER USER E TAMBÉM USER USER USER USER PORRRAAAAARRAAA",1,1,0,0,0,0,0
USER: aproveitando as férias para moldar uma personalidade para o presencial.. estudioso? faltoso? piranha? preguiçoso? que tal esco…,1,0,0,0,0,0,0
USER A Folha desde sempre apoiando a DITADURA e apoiando FASCISTAS que até se esquece de falar sobre seus ESCÂNDALOS como EMPRESTAR CARROS para a DITADURA ir TORTURAR PESSOAS. A Folha GOLPISTA nunca faz uma “autocrítica” URL,1,1,1,0,0,0,0
"Não é vingativo? Kkkkk, USER , só é covarde. USER",1,1,0,0,0,0,0
"última vez que eu pisei em Tamandaré deu uma merda do caralho e eu prometi que não ia mais vir pra esse buraco, aí hj eu vim dnv e dnv deu uma merda do caralho KKKKKKKKK lugarzinho da porra vai se foder",1,1,0,0,0,0,1
"USER Son los aviones de combate más modernos que tenemos, ineptos. Y no los compraron ustedes. No compraron ni un planeador, corruptos",1,0,0,0,0,0,0
USER 🌐 o silêncio é o que mais mata,1,0,0,0,0,0,0
"USER USER Tche, ta com inveja da melhor regiao do país, pia azedo? 🤣🤣🤣 Fala isso perto da gurizada pra ver o que acontece cntg, bostinha. O facao ja ta afiado, mlhr tu ti atipa daqui!¡",1,0,1,0,0,0,1
E os machos q ficavam desmerecendo ela lá por ela ser negra e acima do peso vcs n ligam?,1,0,0,0,1,0,0
"USER bolsonaro, como se sente sabendo que é um merdinha e foi humilhado por gente foda? você é um bostinha, smttttttttttt",1,1,0,0,0,0,0
"Oque um idiota pode fazer em... Por isso minha mãe sempre me disse: selecione bem suas amizades... Só espero que o tal USER pague com a justiça pelo que ele incitou... Espero que a USER e o USER da Justiça façam a parte deles com a fala do abençoado USER! Exatamente oque o especialista disse... O nazismo pregava o arianismo... Acredito que o USER não tenha nem se quer tenha lido o que falou... Ou realmente ele é um criminoso (e ele realmente cometeu diversos crimes c a fala dele) que não tá nem aí pra quem sofreu com o nazismo! Existe algo chamado de ética (conjuntos de normas e valores) que fazem o mundo dar certo... O que o USER não entendeu nos seus 30 e poucos anos de vida é que se ele tem fala ou tinha, é graças a essa ética que existe no mundo, graças a esse conjunto de normas e valores!",1,1,1,0,0,0,0
USER tentando defender a Anitta só para conseguir uma entrevista???? Tudo que você já falou sobre “especialistas” vai por água abaixo depois os tweets que fez… Que vergonha,1,0,0,0,0,1,0
parabe´ns cara vc é USER fodah,1,0,0,0,0,0,0
Para Jojo que tá feio só que aparece,1,0,0,0,0,0,0
USER o teste de dna dela deu 100% portuguesa caralho etc,1,1,0,0,0,0,0
Se ele não tivesse respeito por uma mulher ele xingava ela agora na cara dela como muitos fazem! Parabéns USER,1,0,0,0,0,1,0
"Parabéns MonarZI por revelar seu caráter e ""opinião"" USER com palavras lindas. Já que USER acha que tudo se pode FAZER. Podemos da um tiro na sua cabeça? Todos têm direito de fazer tudo certo MonarZI? Tenho direito de te destruir? Certo? USER do Brasil pois no que USER acredita que Tudo se pode, até mesmo ser USER. USER também tem direito certo? Maior otário seu MonarZI.",1,0,0,0,0,0,0
"vampiro que brilha no sol??? USER ""depilado"" a namorada do cara dormindo com outro e o USER falar q tá feliz com isso?? como o felipe USER mesmo fala:"" Que porra é essa??"" USER é ridículo. a sthephany USER ""tentou"" distorcer a figura do vampiro e do USER pra algo + feminino. e isso resultou em uma história totalmente absurda. quando lançou o livro (ou filme) fui assistir pensando que veria um ""vampiro"" e ""USER"" de verdade!! decepcionei geral ao ver a distorção que ela fez.",1,0,0,0,0,1,0
"USER você errou feio cara, mas não irei te massacrar. Todos nós erramos cara. Segue em frente, levanta a cabeça. Boa sorte",1,0,0,0,0,0,0
O povo burro é esse do Brasil!!! Invés de ficar perdendo tempo discutindo quem tá certo ou errado tínhamos que focar na pandemia!!! Esse povo da ESQUERDA E DIREITA não entende que esse não é momento pra ficar brigando e fazendo manifestações !! Depois pega a merda do vírus vai dar trabalho pra um pai ou mãe que não pode ir pra casa direito pois tem que ficar trabalhando dobrado em hospitais!! Vamos respeitar a quarentena!!parem de comer capim um pouco!!,1,0,1,0,0,0,1
"USER merda, ridículo essa imposição. Pior ainda utilizando-se de crianças",1,1,0,0,0,0,0
Só mongolóide no vip HASHTAG,1,0,0,0,0,0,0
Chora USER kkkkkk,1,0,0,0,0,0,0
Esse bicho é doido..,1,0,0,0,0,0,0
"USER USER tava ate indo bem até eu ler a palavra ""macho"" ... como se fosse errado ser homem. essa merda desse femimismo só apodrece mentes",1,0,1,0,0,1,0
"Caraca acordar assim tá pior que aqui em casa kkkkk a cara do maluco, da vontade de enfiar a mão na cara dele apesar que não estou mais pra briga!😨😬😮",1,0,0,0,0,0,0
"USER: usted no puede criticar a alguien si usted también tiene rabo que le majen, siéntese mejor",1,1,0,0,0,0,0
"Q nojo dessa mulher kkk, educação 0",1,0,0,0,0,1,0
"USER: Este man si es atrevido, dice eso de fico pero se le olvida que su mesías alias aureliano es un narco genocida y terrorista…",1,0,0,0,0,0,0
"USER USER Meu amigo, o problema é numa puta de uma crise com um fucking vírus rolando e o USER chamando a galera pras ruas............ USER ??????????????????? Que tipo de presidente é esse ? Um cara que não tem um pingo de preparo pra nada, fica estressado com literalmente TUDO que falam dele. Ao invés dele responder as entrevistas de forma séria e consistente, o cara responde "" eu vou te dar o furo"" pra jornalista.......",1,1,0,0,0,0,0
USER USER desse filme de mongoloide,1,0,0,0,0,0,0
"Essa juiza ganhou meu respeito em kkkk, parabéns juíza é isso aí tem q botar é rachando msm nesse bandido luladrao",1,0,1,0,0,0,0
"USER USER USER USER USER Urr durr, xenofóbico fudido do caralho",1,1,1,0,0,0,0
"mlk até hj dou risada de quando ela mentiu ter pego uma mina só pra ""ficar por cima"" kkkjkkkkkk mais pilantra que eu? ai eu vou ter que zuar",1,1,0,0,0,0,0
A USER ESCOLHEU O USER USER PARA HUMILHAR O USER. UMA USER 😉 ELA USER DE BOA.,1,0,0,0,0,0,0
proposta ridícula. ridículo uma empresa precisar fazer isso pra conseguir cliente. galera vem pra UP! www.upessencia.com.br/103774,1,0,0,0,0,0,0
USER Ya suéltalo a ese mongol que ilusionó a su gente con Lecaros jajajajajajajajaja juraba que el chato jugaría por la o 😂😂,1,0,0,0,0,0,0
Se eu pudesse mordia meu próprio rabo 😋,0,1,0,0,0,0,0
USER USER USER Lula ladrão desgraçado representa a corrupção no país,1,0,1,0,0,0,0
Esse cara nunca foi mendigo 👀👀👀👀👀👀👀👀👀👀👀👀👀👀👀,1,0,0,0,1,0,0
USER essa que disse que o USER é ridículo deve ser fã de CREPUSCULO e num aguentou ouvir a verdade sobre o filme kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk',1,0,0,0,0,0,0
Ser LGBT é certo para de espalhar burrice,1,0,0,1,0,0,0
FAZ CALMA AGR SEU ARROMBADO FUDIDO DO CARALHO,1,1,0,0,0,0,0
USER Gatinha de pinga ... ladrao,1,0,0,0,0,0,0
"USER Sinto muito, mas eu também assisti Crepúsculo, gostei do filme, mas tudo o que o USER USER falou é verdade, não dá para negar. O enredo é fraco, é uma garota pateticamente sem sal, mas que todo mundo é louco por ela, desde o garotinho sem graça da escola, até o cara mais bonito e mais popular do colégio, passando pelo amigo de infância,,, Fala sério, né, vamos combinar... E mais: você não tem o direito de mandar ninguém calar a boca! Respeite a opinião dos outros e fique com a sua",1,0,0,0,0,0,0
"USER,Deus que Isso.So No USER saidinha USER criou essa merda",1,1,0,0,0,0,0
AH VAI TOMA NO CU DESGRAÇADO URL,1,1,0,0,0,0,0
"oh burro, como é que não me lembrei da loja ao lado do teatro sá da bandeira",1,0,0,0,0,0,0
"ueahEUAEHUHEAUHEAUHAE... mano, os cara ficaram puto por isso? aaah!! pelo amor de Deus USER USER",1,1,0,0,0,0,0
"USER, o país que o cachorro mija no poste, enaltecer um degenerado desse é a prova viva que esse país tem o que merece...",1,1,0,0,0,0,1
"Ele não faz sexo com a bela porque ele é morto, então ele não tem sangue para endurecer o pinto.",1,1,0,0,0,0,0
"USER USER a única visibilidade que temos em midia é com coisas ruins como assassinatos, não é nenhum privilégio isso cara, só estamos tentando mudar isso e ser representados como pessoas normais, casais normais e só isso. Essa discursao toda por causa de um video onde mostra todas as formas de amor... É foda",1,1,0,0,0,0,0
USER: Acompáñenme a hacer origami con mi papel de estupida.,1,0,0,0,0,0,0
"eu preciso de dinheiro, de muito dinheiro. procuro trabalho mas não encontro nada, a cidade está uma merda. eu preciso fazer meus implantes dentários mas não tenho onde cair morto, a faculdade de medicina mais perto daqui fica há 380km e há uma fila imensa para implantes e que também são pagos, apesar de um pouco mais baratos.como eu faço para conseguir dinheiro? puta merda.",1,1,0,0,0,0,0
"É foda ver gente que provavelmente não tem nenhuma base de marketing querendo dizer que foi um erro, o único erro é a nossa sociedade homofóbica msm",1,1,0,0,0,0,0
Que bosta de comercial em puta que pariu,1,1,0,0,0,0,0
So queria ver uns peitos balançando ou uma buceta sendo masturbada... alguem se dispoe? retribuo HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG,0,1,0,0,0,1,0
"USER eu lamento muito pelo que fizeram com vc. Eu não vejo um USER nazista. Vejo um USER idealista que defende o direito de livre expressão. Roubaram justamente a tua causa de vida. Isso sim foi criminoso. No dia que houver liberdade de expressão, pode-se discutir pra transformar mentes. O nazismo SIM começou a partir do momento que não se permitiu ter outras idéias, a partir do que se estava estabelecido. USER sem vc não é flow. Como fazer um flow sem o USER, sendo o USER?!? 🤔",1,0,0,0,0,0,0
"USER Eles falam como se a situação de bosta que eles fizeram, fosse a mesma coisa que aconteceu agora. O Scooby é muito sorrateiro e escroto, to passada.",1,0,0,0,0,0,0
"USER USER nao estou debatendo com USER, estou dizendo que USER esta sendo homofobico e errado, nao sou uma criança, qualquer pessoa que discorde de USER e uma criança? Eu acho que a unica criança aqui e USER ou a sua mentalidade e sim eu estudo muito para ajudar meus pais, mas eu realmente nao ligo para oq USER acha, eu n te conheço e não to afim de conhecer",1,1,0,1,0,0,0
q porra foi essa?,0,1,0,0,0,0,0
É muita USER USER sai da boca delas. Chega à da vontade de VOMITAR com esse vocabulário chulo. USER,1,1,0,0,0,0,0
dar o cu — nenhuma URL,1,1,0,0,0,0,0
Queria saber oque esse povo besta estão fazendo vendo esse vídeo e pior ainda comentando ... crlho deixa a menina ser feliz ela pelo menos teve coragem de mostrar coisa que muitas gostosonas so da no escuro ... ela esta mostrando o corpo dele em nenhum momento do video vih ela influenciando nenhuma mulher a ser gorda parem de julgar ... Parabéns linda seja oque USER quiser gorda magra quem paga pela sua comida e USER ...,1,0,1,0,0,1,0
USER: Q VIADINHO LINDO VAI SE FODER KAWORU,1,1,0,1,0,0,0
USER's vendo as cagadas do BK: 🎉🎊🕺🥳🤣,1,1,0,0,0,0,0
"É tão engraçado a diferença do poder pro querer, o povo fica tipo “bichinha, não pode” eu fico tipo feliz, pq eu sei q escolhi a melhor parte e isso é libertador",1,0,0,1,0,0,0
"Cara o USER só fala merda puta que pariu, que cara idiota, tinha que ser o jogador de minecraft",1,1,0,0,0,0,0
"USER Hay papás que no pueden costear una niñera, disculpa los por arruinar tu peda egoista",1,0,0,0,0,0,0
Meudeus acabei de sair do shopping pra comprar roupa com a minha mae e senhor amado como eu to gorda gorda gorda gordola fatspo nivel th415 c4r14 vou me matar fazer nf de 500 horas e eu tb fui pro cinema comi q nem uma porca vou tentar v0m1tar tudo,1,1,0,0,0,0,0
Acho que na verdade ela queria era se vingar do corno..foi direto pra frente da casa dela,1,0,0,0,0,1,0
"vim para deixar meu dislike , alias achei ridículo",1,0,0,0,0,0,0
teve quebra-pau aqui na academia. veio um cara tirar satisfações de outro pq ele ficou com a mulher dele. o corno levou um soco na cara e caiu no chão,1,0,0,0,0,0,0
Me desculpem gente mulher nenhuma é Feliz com esse corpo? Ela precisa de tratamento isso é uma doença,1,0,0,0,0,0,0
USER Demais… cheio de mongoloide nessa porra,1,0,0,0,0,0,0
Bando de pilantras filhos da /^@user,1,1,0,0,0,0,0
DC vagabunda que cancelou o selo onde tinha o maior detetive junto do Batman isso mesmo o Rorschach Como ousa se chamar de detetive comics se agora eu não vou ter mais meu selo Vertigo com um bando de outro detetives meio abluble das ideia URL,1,1,0,0,0,0,0
UM ABRAÇO BEM GAY PARA USER 😚🏳🌈🌈,1,0,0,1,0,0,0
MORO É USER E MENTE E USER USER USER,1,0,0,0,0,0,0
"USER foda ' parabéns felipe USER , o melhor !",1,1,0,0,0,0,0
"éramos vos y yo ahora fuck cupido, no soy estúpido lo nuestro era único",1,0,0,0,0,0,0
só basta uma palavra da minha mãe para que eu me sinta um lixo,1,0,0,0,0,0,0
"Puta, que, paril, USER é muito virgem, virgem, virgem, virgem, virgem .",1,1,0,0,0,1,0
VAI COLOCA ORDEM NA CUSERA DELA EU EINNNN.....USER SABE USER FALA USER USER...O USER TRABALHA PRA USERII USER PESUSERUSER USER FALA...ONTEM ELE USER USER USER USER TAVA USER,1,0,0,0,0,0,0
"USER USER, infelizmente o monark foi longe demais, ele errou MUITO, mais é huUSER errar, mais espero que ele aprenda da pior forma uma lição de vida!",1,0,0,0,0,0,0
"USER é romântico pra poha USER USER com o mendigo. Uma pele macia, quente, uma voz doce e envolvente. Caray o maluco é USER USER",1,1,0,0,0,1,0
toma esse ratio seu fudido do caralho URL,1,0,0,0,0,0,0
"Foi ridículo, não assisti na época Mas acabei de chorar aqui kkkk",1,0,0,0,0,0,0
"USER USER OUTRO RETARDADO????? Primeiro Me manda UMA matéria da jovem pan MENTIROSA. SEGUNDO toma aqui outras fontes MONGOLOIDE, massa de manobra é assim, não sabe verificar sozinho BBC Bolsonarista! URL FOCUS do time do Ciro URL",1,0,1,0,0,0,0
Vcs são uns porcarias. USER tem q ser criança.,1,0,0,0,0,0,0
500 anos de USER e o USER aqui nada mudo,1,0,0,0,0,0,1
Q coisa mais ridícula,1,0,0,0,0,0,0
Caralho se fudeu em.,1,1,0,0,0,0,0
Hoje USER USER fala tudo o contrário a esse vídeo. USER!!!,1,0,0,0,0,0,0
minha tia ligando p minha prima q disse q ia chegar em cs 2:00 e ta ate agora na rua: CADE VOCE SUA FILHA DA PUTA PARECE QUE GOSTA DE ME IRRITAR,1,1,0,0,0,0,0
"Uma palhaçada isUSER, USER no brasil existe isUSER... como pode alguem que pato os pais ou os filhos poder sair no dia dos pais! Quanta hipocrisia viu.",1,0,0,0,0,0,1
"Professor , manda esse inbecil estudar",1,0,0,0,0,0,0
puta que pariu eu vou usar muito,1,1,0,0,0,1,0
Pior edição da fazendo kkkk kkkk expulso o único famoso,1,0,0,0,0,0,0
"USER mesmo. Óbvio que ele não é Nazista. Falou uma merda e se sujou muito com isso. Onde chegar, vai ser taxado de nazista. USER aos dois. USER que ficou com o BO na mão pra resolver, e USER que vai ter uma dureza pela frente.",1,0,1,0,0,0,0
USER esse curso eh coisa de gente retardada mental vai se foder q porra,1,1,0,0,0,0,0
USER sim adoro um professor burrinho,1,0,0,0,0,0,0
USER Diabólico,1,0,0,0,0,0,0
"USER USER USER USER Esse cara é o líder das RACHADINHAS. Juntamente com uma perfeita... O ex acessor dele abriu a boca no trombone, saiu mais sujeira do que esgoto.... Resumindo: é mais um bandido, vagabundo e oportunista, metendo o pau no Presidente!",1,0,1,0,0,0,0
USER USER USER Estou falando do Salles ter sido ministro do bolsonaro. De ter defendido madeireira ilegal cortando madeira nobre pra vender a preço de pinho nos quintos dos infernos. Vc é muito mal informado pra alguém tão seguro de que sabe de tudo.,1,0,1,0,0,0,0
"USER Eu nem falei nada só falei do Cgi que inicialmente tava uma merda, os cara veio me atacar por issokkkkkkkk eu só falei fatos",1,0,0,0,0,1,0
"E pensar que eu era apaixonada por crepusculo nos meus 13,14 anos hoje tenho 16 e acho uma merda e as falas sem nexo nenhum me arrependo muito de gostar de uma porra dessas",1,0,0,0,0,0,0
nada pra fazer vou assistir ppv pq sou hipócrita,1,0,0,0,0,0,0
USER fez o puto gemer gostoso no pauzão URL,1,1,0,1,0,1,0
USER Esse ladrão do Lula é mesmo um demente e um psicopata!!!!,1,0,1,0,0,0,0
USER todynho é muito USER E o USER é vacilão Mas tudo ela quer resolver no grito e achar que pode peitar todo mundo USER isso,1,0,0,0,0,0,0
Pode dar aulas pra homens escrotos .,1,0,0,0,0,1,0
Até quando o povo brasileiro vão usar a viseira de cego esse Presidente é um doido quando ter um derramamento de sangue é que o povo vão ver as consequências acorda povo,1,0,1,0,0,0,0
USER seu filho de uma puta desgraçado. Isso te ofendeu juiz ladrão? se prepara pq vcs são bandidos e o tratamento vai ser na altura,1,1,0,0,0,0,0
"ele fala bem tudo mais, mas USER USER votou no Bolso, ti fude Givanildo !!!",1,0,1,0,0,0,0
caraio eu so burra eu tenho o MEU IRMÃO q eh tipo uma josi sem diploma (poxa henrique trancou o curso no último ano isso q da ser macoero) p me explica as coisa vivaaaaaaaa,1,0,0,0,0,0,0
USER voce so gosta d sapatao caminhoeira de cabelo rapado,1,0,0,1,0,0,0
Vocês não sabem o orgulho que eu tenho vendo uma menina negra virar médica. Um jovem negro virando advogado. Me dá vontade sair na rua e ir pra estrada pagar promessa. HASHTAG,1,0,0,0,1,1,0
USER Tiene la fortaleza de un psicópata narcisista 🤷🏻‍♀️,1,0,0,0,0,0,0
"É um crime hororroso não aceitar que esta é a realidade hoje em dia, crianças lgbts são mais comuns do que pensa, é uma maldade imensuravel pessoas idiotas querendo esconder o preconceito culpando outro alguem que está de fato querendo ajudar, vcs adustos comentando merda nesse anuncio me dão vergonha! Sinceramente.",1,0,1,0,0,0,0
USER CERTICIMA POHA USER E USER DEMAIS USER USER MACHUSER ESCROTUSER USER USER USER DA FAZENDA ESTAO RIUBANDO DUSER USER ESCROTUSER,1,1,0,0,0,0,0
"USER essa galera de pod USER tem que chamar entrevistado oreia igual eles, pra parar de passar vergonha 😂😂😂😂",1,0,0,0,0,0,0
"""um dedo quente nesse cu gelado"" kkkkkkkkkkkkkkkkkkkkkkkkkkk",1,1,0,0,0,0,0
Mulher folgada eu mandava tnc e nao levantava,1,1,0,0,0,0,0
USER USER USER USER Vc já parou pra pensar que a mulher sentiu atração por ele e o chidrudo do marido mandou essa de surto pra não ser o cornão? De repente a mulher cansou do homem e realmente surtou pra mostrar q é livre mas tava consciente? O mendigo devia tá na seca tbm,1,0,0,0,0,1,0
"Não entendo porquê não aceitam logo que o USER vai ganhar. É foda, mas enfim... kkkkkk",1,1,0,0,0,0,0
"USER tava na hora de alguem divulgar os ""pontos negativos"" de crepusculo! (apesar de não ter pontos positivos nessa merda mas enfim...)",1,0,0,0,0,0,0
"USER: na moral, só tem mongoloide na minha escola",1,0,0,0,0,0,0
"USER o seu erro... Foi ter deixado o USER falar sem repreender ele... Sendo assim, impossível seguir este canal... USER USER errou feio!!",1,0,0,0,0,0,0
'-' USER fudeu ;P,1,1,0,0,0,0,0
USER De cair o cu da bunda,1,1,0,0,0,0,0
USER USER de vampiro gay,1,0,0,1,0,0,0
"Os caras do xbox mil grau deve estar rindo ... Drogas comeram o cérebro do Monark , que é um cara que tem insights de genialidade e bestialidade . Fico triste, nem sei o que vai ser do flow sem Monark .",1,0,0,0,0,0,0
"USER só te levou pro buraco Igor, que bom que pôde se levantar e seguir seu caminho daqui pra frente. Pelo monark só lamento, ele continua achando que só se expressou mal, que entenderam errado, que estava bebado… nem no fundo do poço consegue entender a merda que fez.",1,1,0,0,0,0,0
"USER tocou o berrante aí os gados cegos vieram em meio da pandemia, no meio da aglomeração endeusar seu mestre, aí se aumentar a quarentena e o número de mortos por causa da pandemia já sabemos quem são os culpados inclusive o próprio presidente da República",1,1,1,0,0,0,0
USER USER USER !!! nunca mais !!!,1,0,1,0,0,0,0
USER: USER Plantamos um bando de canalhas! Agora pagamos o preço!,1,0,0,0,0,0,0
Ele tá certo deixa a maluca gritar com ele ele fica calado fingindo que não tá ouvindo porque uma pessoa que discute com louco e louco tbm USER campeão ele calado mitou aceitem,1,0,0,0,0,0,0
"A falsidade começa no aperto de mão fi, sinto de longe por isso sou fodase p muita coisa ✌🏻",1,0,0,0,0,0,0
USER da vigarice comunavirus esquerda se fudeu já era intervenção militar já nos dois poderes legislativo e judiciário,1,0,1,0,0,0,0
"Muda o conteúdo cara, não caí na depressão denovo por favor, volta com as gameplays ou vlogs, não se envolve em tretas por favor, mas não desiste a gente gosta de você, muito, mas para com isso monark ):",1,0,0,0,0,0,0
USER: USER !!!HIPOCRITA!!! MEJOR QUEDATE CALLADO IDIOTA..,1,0,0,0,0,0,0
USER USER tudo bem nossa mae gritar com nós e nós ficar quieto porque é mãe. USER também nao ia gostar alguém gritando na sua cabeça e USER falar nada,1,1,0,0,0,0,0
"USER USER mas eu não falei dele, falo dos doentes USERue saem de casa p apoiar presidente, tem USER lembrar USER ñ tem USER babar ovo de presidente, ja USER ele é USERue tem USER ser funcionário da nação",1,0,1,0,0,0,1
"O caso não é o USER, é o sistema que é podre e tem que ser exterminado, para que tenhamos eleições limpas, como tem que ser a segurança para ele, a nação esta nas mãos dos corruptos e oportunistas, se alguém incomoda simplesmente eliminam, como ter eleições com toda essa sujeira",1,1,0,0,0,0,0
Tudo que vêm da Globo é lixo,1,0,0,0,0,0,0
Essa jojo só USER com esse biel USER ele é bobo mas as vezes não vale a pena responder etc uma hora acha um pra enfrentar ela 😂😂😂,1,0,0,0,0,0,0
Coloca logo essa mal educada na cadeia,1,0,0,0,0,0,0
USER Deixa de ser calhorda seu safado,1,1,0,0,0,0,0
USER? Passa essa bosta ainda?,1,1,0,0,0,0,0
USER to louca p ver ele em pachinko por isso vi q o personagem eh meio canalha ne veremos,1,0,0,0,0,1,0
Foi querer lacrar igual faz com o uso da maconha e se deu mal. O cara tem argumentos de merda...,1,1,0,0,0,0,0
kk a USER é uma virgem tem menos de 13 anos só pq ta na moda gosta de crepusculo essas mina tão até se matando só pra fica popular.. T_T ',1,0,0,0,0,1,0
"Meu USER, esse cara é um doente. É um ator e está se vingado do esposo falando detalhes da relação que teve essa pobre mulher. Não conseguiu me convencer com esse teatro. Se ele fosse um homem de caráter, não ficaria com esse discurso . USER, USER e USER....",1,0,0,0,0,1,0
"USER kkkk eu espero que esse lula ganhe e termine de acaba com brasil é só o que vocês merece mesmo , vou esta de camarote assistindo a merda que vocês fez",1,0,1,0,0,0,1
EU SO ME FODO NESSE INFERNO QM DISSE Q EU QUERO VIVER URL,1,0,0,0,0,0,0
